date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Volume,BuyAmount,SellAmount,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,Dealer_Hedging_buy,Dealer_self_buy,Foreign_Investor_buy,Investment_Trust_buy,Dealer_Hedging_sell,Dealer_self_sell,Foreign_Investor_sell,Investment_Trust_sell
2017-05-02,2330,45851963,9053856108,198.5,199.0,195.5,196.5,2.0,15718,1395000.0,274833500.0,275968000.0,227.0,3.0,6482595.0,1543.0,8808.0,10127.0,13.0,76.0,0.0,6482595.0,141.0,1606.0,1541.0,527000.0,360000.0,39300759.0,254000.0,550000.0,501000.0,20879399.0,719000.0
2017-05-03,2330,27240962,5390698304,198.0,198.5,197.0,198.0,1.5,9259,139000.0,27493500.0,27512500.0,134.0,5.0,6482595.0,310.0,8627.0,8808.0,2.0,6.0,0.0,6482595.0,119.0,1719.0,1606.0,14000.0,35000.0,26306539.0,0.0,488000.0,221000.0,9775172.0,5000.0
2017-05-04,2330,22194084,4394409518,198.5,199.0,197.0,198.0,0.0,8787,109000.0,21586000.0,21612000.0,57.0,0.0,6482595.0,167.0,8517.0,8627.0,2.0,2.0,1.0,6482595.0,69.0,1785.0,1719.0,189000.0,235000.0,14538869.0,1000000.0,133000.0,44000.0,10232444.0,119088.0
2017-05-05,2330,17618358,3484019026,197.0,198.5,197.0,197.5,-0.5,6078,232000.0,45877000.0,45966500.0,42.0,5.0,6482595.0,190.0,8364.0,8517.0,0.0,34.0,0.0,6482595.0,205.0,1956.0,1785.0,21000.0,150000.0,10450443.0,17825.0,183000.0,320000.0,9976219.0,53000.0
2017-05-08,2330,39591009,7943498809,199.0,202.5,199.0,202.5,5.0,15190,979000.0,195559500.0,196308500.0,366.0,49.0,6482595.0,1162.0,7519.0,8364.0,4.0,20.0,0.0,6482595.0,554.0,2490.0,1956.0,178000.0,234000.0,21556319.0,83000.0,256000.0,187000.0,11319933.0,567000.0
2017-05-09,2330,48285324,9920879512,205.5,207.0,203.5,203.5,1.0,15467,1653000.0,338957500.0,339789500.0,458.0,0.0,6482595.0,930.0,7047.0,7519.0,49.0,38.0,0.0,6482595.0,279.0,2731.0,2490.0,186000.0,112000.0,23012885.0,265000.0,1756006.0,1349000.0,15651431.0,394000.0
2017-05-10,2330,31075759,6369713620,204.0,206.0,204.0,205.5,2.0,11094,947000.0,193901500.0,194501000.0,209.0,0.0,6482595.0,281.0,6975.0,7047.0,3.0,23.0,0.0,6482595.0,130.0,2838.0,2731.0,821000.0,96000.0,17617154.0,200000.0,205000.0,74000.0,15148181.0,151000.0
2017-05-11,2330,44286097,9144772197,204.5,208.5,204.0,207.5,2.0,16478,1124000.0,231410500.0,232246500.0,264.0,1.0,6482595.0,606.0,6632.0,6975.0,10.0,77.0,0.0,6482595.0,243.0,3004.0,2838.0,426000.0,404000.0,29510891.0,277000.0,216000.0,238000.0,18863095.0,122000.0
2017-05-12,2330,25507045,5246098865,205.0,207.0,205.0,206.0,-1.5,7515,417000.0,85719500.0,85902000.0,194.0,3.0,6482595.0,154.0,6669.0,6632.0,22.0,64.0,0.0,6482595.0,64.0,3004.0,3004.0,138000.0,537000.0,11931730.0,0.0,102000.0,0.0,11954000.0,369000.0
2017-05-15,2330,25922334,5324070590,204.0,206.0,204.0,206.0,0.0,8141,1334000.0,273617500.0,274054500.0,116.0,0.0,6482595.0,91.0,6694.0,6669.0,1.0,50.0,2.0,6482595.0,72.0,3024.0,3004.0,278000.0,151000.0,12745409.0,1017000.0,54000.0,110000.0,15064622.0,188000.0
2017-05-16,2330,36604672,7468111624,205.0,205.0,203.5,204.5,-1.5,11066,747000.0,152389000.0,152453000.0,299.0,0.0,6482595.0,149.0,6844.0,6694.0,1.0,168.0,0.0,6482595.0,75.0,2931.0,3024.0,174000.0,157000.0,25089584.0,2990000.0,121000.0,249000.0,25950200.0,186000.0
2017-05-17,2330,22606380,4599735640,203.0,204.0,203.0,204.0,-0.5,9323,624000.0,126839000.0,127165500.0,235.0,1.0,6482595.0,94.0,6984.0,6844.0,0.0,72.0,0.0,6482595.0,30.0,2889.0,2931.0,277000.0,109000.0,14934156.0,91000.0,331000.0,1537000.0,12208972.0,81000.0
2017-05-18,2330,22490217,4559780051,202.5,204.0,201.5,203.5,-0.5,6983,1057000.0,213741500.0,214728500.0,113.0,0.0,6482595.0,181.0,6916.0,6984.0,2.0,122.0,0.0,6482595.0,79.0,2846.0,2889.0,107000.0,324000.0,15657068.0,0.0,291000.0,100000.0,16371160.0,125000.0
2017-05-19,2330,17163108,3490280961,203.5,204.5,202.5,203.0,-0.5,6014,702000.0,142755500.0,142812500.0,188.0,7.0,6482595.0,29.0,7068.0,6916.0,1.0,62.0,0.0,6482595.0,7.0,2791.0,2846.0,49000.0,202000.0,13310143.0,6000.0,39000.0,102000.0,10796568.0,63000.0
2017-05-22,2330,17419705,3554245920,203.5,205.0,203.0,205.0,2.0,5278,493000.0,100475500.0,100849500.0,84.0,1.0,6482595.0,121.0,7030.0,7068.0,0.0,11.0,5.0,6482595.0,43.0,2818.0,2791.0,260000.0,141000.0,14966063.0,65000.0,113000.0,211000.0,12569459.0,54000.0
2017-05-23,2330,23028298,4738103907,205.0,207.0,204.5,205.0,0.0,7003,510000.0,104881500.0,105075000.0,307.0,0.0,6482595.0,156.0,7181.0,7030.0,2.0,35.0,0.0,6482595.0,40.0,2823.0,2818.0,513000.0,270000.0,18470540.0,0.0,216000.0,15000.0,15024752.0,309000.0
2017-05-24,2330,18307715,3760309975,205.0,206.0,205.0,205.5,0.5,5141,247000.0,50706000.0,50801000.0,63.0,12.0,6482595.0,191.0,7041.0,7181.0,0.0,7.0,0.0,6482595.0,1.0,2817.0,2823.0,401000.0,15000.0,15916625.0,30000.0,85000.0,14000.0,16018830.0,181000.0
